"miR" "bone" "bone.marrow" "heart" "kidney" "ovary" "placenta" "salivary.gland"
"170" "hsa-miR-135b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"171" "hsa-miR-136-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"172" "hsa-miR-137" "1" "not on expr" "1" "1" "1" "1" "1"
"173" "hsa-miR-138-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"174" "hsa-miR-138-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"175" "hsa-miR-138-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"176" "hsa-miR-139-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"177" "hsa-miR-139-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"178" "hsa-miR-140-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"179" "hsa-miR-140-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"180" "hsa-miR-141-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"181" "hsa-miR-141-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"182" "hsa-miR-142-3p" "1" "not on expr" "1" "1" "1" "1" "1"
"183" "hsa-miR-142-5p" "1" "not on expr" "1" "1" "1" "1" "1"
"184" "hsa-miR-143-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"185" "hsa-miR-143-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"186" "hsa-miR-144-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"187" "hsa-miR-144-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"188" "hsa-miR-145-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"189" "hsa-miR-145-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"190" "hsa-miR-146a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"191" "hsa-miR-146a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"192" "hsa-miR-146b-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"193" "hsa-miR-146b-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"194" "hsa-miR-147a" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"195" "hsa-miR-147b" "1" "not on expr" "1" "1" "1" "?" "1"
"196" "hsa-miR-148a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"197" "hsa-miR-148a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"198" "hsa-miR-148b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"199" "hsa-miR-148b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"200" "hsa-miR-149-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"201" "hsa-miR-149-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"202" "hsa-miR-150-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"203" "hsa-miR-150-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"204" "hsa-miR-151a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"205" "hsa-miR-151a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"206" "hsa-miR-151b" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"207" "hsa-miR-152-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"208" "hsa-miR-153-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"209" "hsa-miR-1537-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"210" "hsa-miR-154-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"211" "hsa-miR-154-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"212" "hsa-miR-155-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"213" "hsa-miR-155-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"214" "hsa-miR-1587" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"215" "hsa-miR-15a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"216" "hsa-miR-15a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"217" "hsa-miR-15b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"218" "hsa-miR-15b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"219" "hsa-miR-16-1-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"220" "hsa-miR-16-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"221" "hsa-miR-16-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"222" "hsa-miR-17-3p" "?" "not on expr" "?" "?" "?" "1" "?"
"223" "hsa-miR-17-5p" "?" "not on expr" "?" "?" "?" "1" "?"
"224" "hsa-miR-181a-2-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"225" "hsa-miR-181a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"226" "hsa-miR-181a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"227" "hsa-miR-181b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"228" "hsa-miR-181b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"229" "hsa-miR-181c-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"230" "hsa-miR-181d-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"231" "hsa-miR-182-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"232" "hsa-miR-182-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"233" "hsa-miR-1825" "?" "not on expr" "1" "1" "1" "?" "1"
"234" "hsa-miR-1827" "?" "not on expr" "1" "1" "1" "?" "1"
"235" "hsa-miR-183-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"236" "hsa-miR-183-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"237" "hsa-miR-184" "1" "not on expr" "1" "1" "1" "1" "1"
"238" "hsa-miR-185-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"239" "hsa-miR-185-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"240" "hsa-miR-186-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"241" "hsa-miR-186-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"242" "hsa-miR-187-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"243" "hsa-miR-187-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"244" "hsa-miR-188-3p" "1" "not on expr" "1" "1" "1" "?" "1"
"245" "hsa-miR-188-5p" "1" "not on expr" "1" "1" "1" "?" "1"
"246" "hsa-miR-18a-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"247" "hsa-miR-18a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"248" "hsa-miR-18b-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"249" "hsa-miR-18b-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"250" "hsa-miR-1908-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"251" "hsa-miR-1909-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"252" "hsa-miR-1909-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"253" "hsa-miR-190a-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"254" "hsa-miR-190b" "1" "not on expr" "1" "1" "1" "?" "1"
"255" "hsa-miR-191-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"256" "hsa-miR-191-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"257" "hsa-miR-1910-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"258" "hsa-miR-1911-5p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
"259" "hsa-miR-1912" "?" "not on expr" "1" "1" "1" "?" "1"
"260" "hsa-miR-1913" "?" "not on expr" "1" "1" "1" "?" "1"
"261" "hsa-miR-1914-3p" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr" "not on expr"
